gender;course;free_time;feeling;walking;hobby;importance;animal;form
Мужчина;2;Гулять;Встать без будильника;По городу;Рисование;Поесть очень вкусную еду в не очень красивом месте;Кота;Да
Мужчина;2;Компьютерные игры;Встать без будильника;На природе;Музыка;Поесть очень вкусную еду в не очень красивом месте;Кота;Да
Мужчина;1;Компьютерные игры;Сесть на свободное место в полном вагоне метро;По городу;Рисование;Поесть очень вкусную еду в не очень красивом месте;Не хочу заводить питомцев;Да
Женщина;2;Спорт;В столовой любимый комплексный обед;На природе;Танцы;Поесть очень вкусную еду в не очень красивом месте;Собаку;Да
Женщина;1;Смотреть фильмы/сериалы/аниме;Встать без будильника;На природе;Лепка из глины;Поесть очень вкусную еду в не очень красивом месте;Кота;Да
Женщина;1;Гулять;Встать без будильника;На природе;Иностранные языки;Поесть очень вкусную еду в не очень красивом месте;Собаку;Да
Мужчина;2;Слушать музыку;Встать без будильника;По городу;Мыловарение;Поесть очень вкусную еду в не очень красивом месте;Кота;Да
Мужчина;1;Спорт;Сесть на свободное место в полном вагоне метро;На природе;Рисование;Поесть не очень вкусную еду в очень красивом месте;Собаку;Да
Женщина;1;Спать;Встать без будильника;На природе;Пение;Поесть очень вкусную еду в не очень красивом месте;Собаку;Да
Женщина;1;Слушать музыку;Встать без будильника;На природе;Танцы;Поесть не очень вкусную еду в очень красивом месте;Собаку;Да
Женщина;2;Проводить время с друзьями;Встать без будильника;По городу;Спорт;Поесть очень вкусную еду в не очень красивом месте;Не хочу заводить питомцев;Да
Женщина;1;Слушать музыку;Встать без будильника;По городу;Танцы;Поесть очень вкусную еду в не очень красивом месте;Собаку;Да
Мужчина;4;Готовить/есть;Встать без будильника;На природе;Рисование;Поесть очень вкусную еду в не очень красивом месте;Собаку;Да
Женщина;2;Проводить время с друзьями;Встать без будильника;На природе;Вязание;Поесть очень вкусную еду в не очень красивом месте;Кота;Да
Мужчина;1;Слушать музыку;Встать без будильника;На природе;Пение;Поесть очень вкусную еду в не очень красивом месте;Грызуна (кролика, хомячка, крысу и т.д);Да
Женщина;3;Спать;Встать без будильника;На природе;Танцы;Поесть очень вкусную еду в не очень красивом месте;Собаку;Да
Женщина;1;Смотреть фильмы/сериалы/аниме;Встать без будильника;Везде;Рисование;Поесть очень вкусную еду в не очень красивом месте;Кота;Да
Мужчина;1;Готовить/есть;Встать без будильника;На природе;Лепка из глины;Поесть очень вкусную еду в не очень красивом месте;Грызуна (кролика, хомячка, крысу и т.д);Да
Женщина;4;Спать;Встать без будильника;На природе;Танцы;Поесть очень вкусную еду в не очень красивом месте;Собаку;Да
Женщина;4;Спать;Встать без будильника;По городу;Танцы;Поесть не очень вкусную еду в очень красивом месте;Попугая;Да
Женщина;1;Проводить время с друзьями;В столовой любимый комплексный обед;На природе;Изготовление свечек;Поесть очень вкусную еду в не очень красивом месте;Рептилию (черепаху, ящерицу и т.д);Да
Женщина;1;Спать;Сесть на свободное место в полном вагоне метро;По городу;Танцы;Поесть очень вкусную еду в не очень красивом месте;Кота;Да
Мужчина;4;Компьютерные игры ;Встать без будильника;По городу;Рисование;Поесть очень вкусную еду в не очень красивом месте;Кота;Да
Мужчина;4;Готовить/есть;Встать без будильника;На природе;Пение;Поесть очень вкусную еду в не очень красивом месте;Собаку;Нет :(
Женщина;2;Проводить время с друзьями;В столовой любимый комплексный обед;На природе;Лепка из глины;Поесть не очень вкусную еду в очень красивом месте;Собаку;
Женщина;4;Спать;Чувство спокойствия;Не нравится гулять;Другое;Поесть очень вкусную еду в не очень красивом месте;Дикое животное;Да
Мужчина;1;Смотреть фильмы/сериалы/аниме;Чувство спокойствия;По городу;Другое;Поесть очень вкусную еду в не очень красивом месте;Кота;Да
Мужчина;4;Спорт;Другое;На природе;Иностранные языки;Поесть очень вкусную еду в не очень красивом месте;Собаку;Да
Женщина;2;Спать;Встать без будильника;На природе;Рисование;Поесть очень вкусную еду в не очень красивом месте;Кота;Да
Женщина;1;Спать;Встать без будильника;На природе;Пение;Поесть очень вкусную еду в не очень красивом месте;Собаку;Да
Мужчина;4;Смотреть фильмы/сериалы/аниме;Встать без будильника;На природе;Рисование;Поесть очень вкусную еду в не очень красивом месте;Собаку;Да
Мужчина;4;проводить время с родственниками;Встать без будильника;На природе;Другое;Поесть очень вкусную еду в не очень красивом месте;Собаку;Да
Женщина;2;Читать;Чувство спокойствия;По городу;Вязание;Поесть очень вкусную еду в не очень красивом месте;Собаку;Да
Женщина;4;Смотреть фильмы/сериалы/аниме;Другое;На природе;Танцы;Поесть очень вкусную еду в не очень красивом месте;Собаку;Да
